Input,distal,proximal
raw/static/trackTest-15Dec2021-C231-Y0/4/SRI_Original-2021-12-15T15_18_39.502,6,7
raw/static/trackTest-15Dec2021-C231-Y0/5/FH512_noDither_gradSpoiled-2021-12-15T15_31_15.085,6,7
raw/static/trackTest-15Dec2021-C231-Y0/5/SRI_Original-2021-12-15T15_31_58.774,6,7
raw/static/trackTest-15Dec2021-C231-Y0/6/FH512_noDither_gradSpoiled-2021-12-15T15_42_06.256,6,7
raw/static/trackTest-15Dec2021-C231-Y0/6/SRI_Original-2021-12-15T15_42_50.901,6,7
raw/static/trackTest-15Dec2021-C231-Y0/7/FH512_noDither_gradSpoiled-2021-12-15T15_54_04.360,6,7
raw/static/trackTest-15Dec2021-C231-Y0/7/SRI_Original-2021-12-15T15_54_48.938,6,7
raw/static/trackTest-15Dec2021-C231-Y0/8/FH512_noDither_gradSpoiled-2021-12-15T16_05_08.438,6,7
raw/static/trackTest-15Dec2021-C231-Y0/8/SRI_Original-2021-12-15T16_05_52.686,6,7
raw/static/trackTest-15Dec2021-C231-Y0/9/FH512_noDither_gradSpoiled-2021-12-15T16_30_30.004,6,7
raw/static/trackTest-15Dec2021-C231-Y0/9/SRI_Original-2021-12-15T16_31_23.215,6,7
raw/static/trackTest-17Aug2021-C222-Y0/10/FH512_noDither_gradSpoiled-2021-08-17T14_48_20.421,4,5
raw/static/trackTest-17Aug2021-C222-Y0/10/SRI_Original-2021-08-17T14_50_18.200,4,5
raw/static/trackTest-17Aug2021-C222-Y0/11/FH512_noDither_gradSpoiled-2021-08-17T15_02_33.111,4,5
raw/static/trackTest-17Aug2021-C222-Y0/11/SRI_Original-2021-08-17T15_04_56.539,4,5
raw/static/trackTest-17Aug2021-C222-Y0/12/FH512_noDither_gradSpoiled-2021-08-17T15_20_11.592,4,5
raw/static/trackTest-17Aug2021-C222-Y0/12/SRI_Original-2021-08-17T15_21_59.189,4,5
raw/static/trackTest-17Aug2021-C222-Y0/13/FH512_noDither_gradSpoiled-2021-08-17T16_12_36.388,4,5
raw/static/trackTest-17Aug2021-C222-Y0/13/SRI_Original-2021-08-17T16_14_41.234,4,5
raw/static/trackTest-17Aug2021-C222-Y0/14/FH512_noDither_gradSpoiled-2021-08-17T16_27_41.342,4,5
raw/static/trackTest-17Aug2021-C222-Y0/14/SRI_Original-2021-08-17T16_29_37.055,4,5
raw/static/trackTest-17Aug2021-C222-Y0/15/FH512_noDither_gradSpoiled-2021-08-17T16_43_04.678,4,5
raw/static/trackTest-17Aug2021-C222-Y0/15/SRI_Original-2021-08-17T16_45_08.857,4,5
raw/static/trackTest-17Aug2021-C222-Y0/16/FH512_noDither_gradSpoiled-2021-08-17T16_59_02.264,4,5
raw/static/trackTest-17Aug2021-C222-Y0/16/SRI_Original-2021-08-17T17_00_58.894,4,5
raw/static/trackTest-17Aug2021-C222-Y0/1/FH512_noDither_gradSpoiled-2021-08-17T19_10_37.404,4,5
raw/static/trackTest-17Aug2021-C222-Y0/1/SRI_Original-2021-08-17T19_12_32.999,4,5
raw/static/trackTest-17Aug2021-C222-Y0/2/FH512_noDither_gradSpoiled-2021-08-17T11_04_25.283,4,5
raw/static/trackTest-17Aug2021-C222-Y0/2/SRI_Original-2021-08-17T11_06_12.944,4,5
raw/static/trackTest-17Aug2021-C222-Y0/3/FH512_noDither_gradSpoiled-2021-08-17T11_22_52.394,4,5
raw/static/trackTest-17Aug2021-C222-Y0/3/SRI_Original-2021-08-17T11_25_11.624,4,5
raw/static/trackTest-17Aug2021-C222-Y0/4/FH512_noDither_gradSpoiled-2021-08-17T11_40_46.193,4,5
raw/static/trackTest-17Aug2021-C222-Y0/4/SRI_Original-2021-08-17T11_42_35.873,4,5
raw/static/trackTest-17Aug2021-C222-Y0/5/FH512_noDither_gradSpoiled-2021-08-17T12_29_02.766,4,5
raw/static/trackTest-17Aug2021-C222-Y0/5/SRI_Original-2021-08-17T12_30_53.211,4,5
raw/static/trackTest-17Aug2021-C222-Y0/6/FH512_noDither_gradSpoiled-2021-08-17T12_44_11.968,4,5
raw/static/trackTest-17Aug2021-C222-Y0/6/SRI_Original-2021-08-17T12_46_05.115,4,5
raw/static/trackTest-17Aug2021-C222-Y0/7/FH512_noDither_gradSpoiled-2021-08-17T13_54_18.661,4,5
raw/static/trackTest-17Aug2021-C222-Y0/7/SRI_Original-2021-08-17T13_56_06.158,4,5
raw/static/trackTest-17Aug2021-C222-Y0/8/FH512_noDither_gradSpoiled-2021-08-17T14_09_18.982,4,5
raw/static/trackTest-17Aug2021-C222-Y0/8/SRI_Original-2021-08-17T14_11_06.662,4,5
raw/static/trackTest-17Aug2021-C222-Y0/9/FH512_noDither_gradSpoiled-2021-08-17T14_29_04.451,4,5
raw/static/trackTest-17Aug2021-C222-Y0/9/SRI_Original-2021-08-17T14_31_02.338,4,5
raw/static/trackTest-21Dec2021-C231-Y1/10/FH512_noDither_gradSpoiled-2021-12-21T16_54_49.069,6,7
raw/static/trackTest-21Dec2021-C231-Y1/10/SRI_Original-2021-12-21T16_55_29.535,6,7
raw/static/trackTest-21Dec2021-C231-Y1/11/FH512_noDither_gradSpoiled-2021-12-21T17_11_00.318,6,7
raw/static/trackTest-21Dec2021-C231-Y1/11/SRI_Original-2021-12-21T17_11_50.566,6,7
raw/static/trackTest-21Dec2021-C231-Y1/12/FH512_noDither_gradSpoiled-2021-12-21T17_24_21.838,6,7
raw/static/trackTest-21Dec2021-C231-Y1/12/SRI_Original-2021-12-21T17_25_17.203,6,7
raw/static/trackTest-21Dec2021-C231-Y1/13/FH512_noDither_gradSpoiled-2021-12-21T17_41_56.566,6,7
raw/static/trackTest-21Dec2021-C231-Y1/13/SRI_Original-2021-12-21T17_42_53.498,6,7
