Experiment Name,Coord_X,Coord_Y,Coord_Z,Images,Meta Data,Coil Index
trackTest-21Dec2021-C231-Y1,30.948579640800762,23.011450877317777,71.71865062627947,E5558S63I004 E5558S64I004 ,dist,6
trackTest-21Dec2021-C231-Y1,31.139760802134287,22.803428623273046,63.95688696056613,E5558S63I004 E5558S64I004 ,prox,7
