Experiment Name,Coord_X,Coord_Y,Coord_Z,Images,Meta Data,Coil Index
trackTest-9Jan2022-C231-Y2,-6.161524292354490,-3.221711477493370,53.04459589910070,E5563S34I004 E5563S35I004,dist,6
trackTest-9Jan2022-C231-Y2,-6.138884022131190,-3.322476004555390,45.25425046064630,E5563S34I004 E5563S35I004,prox,7
