Experiment Name,Coord_X,Coord_Y,Coord_Z,Images,Meta Data,Coil Index
trackTest-19Apr2022-M,-7.675101561741236,78.88200967286649,-20.472664532653408,E5627S8I036 E5627S9I036 ,prox,7
trackTest-19Apr2022-M,-7.509945443918238,78.46275429029707,-12.780263328107935,E5627S8I036 E5627S9I036 ,dist,6
